tconst,ordering,nconst,category,job,characters
tt0511645,1,nm0532235,actor,,"[""Stan Smith"",""Roger the Alien"",""Greg Corbin""]"
tt0511645,2,nm0769446,actress,,"[""Francine Smith""]"
tt0511645,3,nm0342241,actor,,"[""Steve Smith""]"
tt0511645,4,nm1484134,actress,,"[""Hayley Smith""]"
tt0511645,5,nm0453606,director,,
tt0511645,6,nm0400423,director,supervising director,
tt0511645,7,nm0513307,director,supervising director,
tt0511645,8,nm0963341,writer,creator,
tt0511645,9,nm0963392,writer,creator,
tt0511646,10,nm1259707,writer,staff writer,
tt0511646,1,nm0532235,actor,,"[""Stan Smith"",""Roger the Alien"",""Greg Corbin""]"
tt0511646,2,nm0769446,actress,,"[""Francine Smith""]"
tt0511646,3,nm0342241,actor,,"[""Steve Smith""]"
tt0511646,4,nm1484134,actress,,"[""Hayley Smith"",""Barb Hanson""]"
tt0511646,5,nm1547501,director,,
tt0511646,6,nm0400423,director,supervising director,
tt0511646,7,nm0963341,writer,creator,
tt0511646,8,nm0963392,writer,creator,
tt0511646,9,nm0958412,writer,written by,
tt0514058,1,nm1075468,actor,,"[""Master Shake""]"
tt0514058,2,nm1052894,actor,,"[""Frylock""]"
tt0514058,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514058,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514058,5,nm0537410,director,,
tt0514058,6,nm0250080,producer,producer,
tt0514058,7,nm0195997,composer,,
tt0514058,8,nm1557497,editor,,
tt0514058,9,nm0368579,editor,,
tt0514059,1,nm1075468,actor,,"[""Master Shake""]"
tt0514059,2,nm1052894,actor,,"[""Frylock""]"
tt0514059,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514059,4,nm0368579,actor,,
tt0514059,5,nm0537410,director,,
tt0514059,6,nm0195997,composer,,
tt0514060,1,nm1075468,actor,,"[""Master Shake""]"
tt0514060,2,nm1052894,actor,,"[""Frylock""]"
tt0514060,3,nm0932302,actor,,"[""Meatwad""]"
tt0514060,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514060,5,nm0537410,director,,
tt0514060,6,nm0250080,producer,producer,
tt0514060,7,nm0195997,composer,,
tt0514060,8,nm1557497,editor,,
tt0514060,9,nm0368579,editor,,
tt0514061,1,nm1075468,actor,,"[""Master Shake""]"
tt0514061,2,nm1052894,actor,,"[""Frylock""]"
tt0514061,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514061,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514061,5,nm0537410,director,,
tt0514061,6,nm0250080,producer,producer,
tt0514061,7,nm0195997,composer,,
tt0514062,1,nm1075468,actor,,"[""Master Shake""]"
tt0514062,2,nm1052894,actor,,"[""Frylock""]"
tt0514062,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514062,4,nm0537410,actor,,"[""Randy the Astonishing""]"
tt0514062,5,nm0250080,producer,producer,
tt0514062,6,nm0195997,composer,,
tt0514063,1,nm1075468,actor,,"[""Master Shake""]"
tt0514063,2,nm1052894,actor,,"[""Frylock""]"
tt0514063,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski""]"
tt0514063,4,nm0537410,actor,,"[""Ghost of Christmas Past""]"
tt0514063,5,nm0250080,producer,producer,
tt0514063,6,nm0195997,composer,,
tt0514063,7,nm0368579,editor,,
tt0514064,10,nm1743855,editor,,
tt0514064,1,nm1075468,actor,,"[""Master Shake""]"
tt0514064,2,nm1052894,actor,,"[""Frylock""]"
tt0514064,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514064,4,nm0581258,actor,,"[""Oglethorpe""]"
tt0514064,5,nm0537410,director,,
tt0514064,6,nm0250080,producer,producer,
tt0514064,7,nm0368579,producer,producer,
tt0514064,8,nm0195997,composer,,
tt0514064,9,nm1557497,editor,,
tt0514065,1,nm1075468,actor,,"[""Master Shake""]"
tt0514065,2,nm1052894,actor,,"[""Frylock""]"
tt0514065,3,nm0932302,actor,,"[""Meatwad""]"
tt0514065,4,nm0188554,actor,,"[""Dr. Weird"",""Steve""]"
tt0514065,5,nm0537410,director,,
tt0514065,6,nm0250080,producer,producer,
tt0514065,7,nm0195997,composer,,
tt0514065,8,nm0368579,editor,,
tt0514066,10,nm1743855,editor,,
tt0514066,1,nm1075468,actor,,"[""Master Shake""]"
tt0514066,2,nm1052894,actor,,"[""Frylock""]"
tt0514066,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514066,4,nm0581258,actor,,"[""Oglethorpe""]"
tt0514066,5,nm0537410,director,,
tt0514066,6,nm0250080,producer,producer,
tt0514066,7,nm0368579,producer,producer,
tt0514066,8,nm0195997,composer,,
tt0514066,9,nm1557497,editor,,
tt0514067,1,nm1075468,actor,,"[""Master Shake""]"
tt0514067,2,nm1052894,actor,,"[""Frylock""]"
tt0514067,3,nm0932302,actor,,"[""Meatwad"",""Carl Brutananadilewski"",""Ignignokt""]"
tt0514067,4,nm0581258,actor,,"[""Oglethorpe""]"
tt0514067,5,nm0537410,director,,
tt0514067,6,nm0250080,producer,producer,
tt0514067,7,nm0368579,producer,producer,
tt0514067,8,nm0195997,composer,,
tt0514067,9,nm1557497,editor,,
tt0514068,1,nm1075468,actor,,"[""Master Shake""]"
