series_id,primaryTitle_series,episode_id,primaryTitle_episode,seasonNumber,episodeNumber,isAdult_episode,startYear_episode,endYear_episode,runtimeMinutes_episode,genres_episode,averageRating,numVotes
tt0096697,The Simpsons,tt0701225,The Bart Wants What It Wants,13,11,0,2002,,30,"Animation,Comedy",7.1,914
tt0096697,The Simpsons,tt0701249,The Lastest Gun in the West,13,12,0,2002,,30,"Animation,Comedy",6.6,953
tt0096697,The Simpsons,tt0701252,The Old Man and the Key,13,13,0,2002,,30,"Animation,Comedy",6.5,902
tt0096697,The Simpsons,tt0763038,Tales from the Public Domain,13,14,0,2002,,30,"Animation,Comedy",7.3,942
tt0096697,The Simpsons,tt0763028,Blame It on Lisa,13,15,0,2002,,30,"Animation,Comedy",7.1,971
tt0096697,The Simpsons,tt0701291,Weekend at Burnsie's,13,16,0,2002,,30,"Animation,Comedy",7.7,1088
tt0096697,The Simpsons,tt0701103,Gump Roast,13,17,0,2002,,30,"Animation,Comedy",5.7,1058
tt0096697,The Simpsons,tt0701132,I Am Furious Yellow,13,18,0,2002,,30,"Animation,Comedy",7.7,1026
tt0096697,The Simpsons,tt0701264,The Sweetest Apu,13,19,0,2002,,30,"Animation,Comedy",6.9,880
tt0096697,The Simpsons,tt0701255,The Parent Rap,13,2,0,2001,,30,"Animation,Comedy",7,1004
tt0096697,The Simpsons,tt0701167,Little Girl in the Big Ten,13,20,0,2002,,30,"Animation,Comedy",7.2,906
tt0096697,The Simpsons,tt0701238,The Frying Game,13,21,0,2002,,30,"Animation,Comedy",7.1,921
tt0096697,The Simpsons,tt0701196,Papa's Got a Brand New Badge,13,22,0,2002,,30,"Animation,Comedy",8,1066
tt0096697,The Simpsons,tt0701116,Homer the Moe,13,3,0,2001,,30,"Animation,Comedy",7.2,997
tt0096697,The Simpsons,tt0701044,A Hunka Hunka Burns in Love,13,4,0,2001,,30,"Animation,Comedy",7.1,945
tt0096697,The Simpsons,tt0701226,The Blunder Years,13,5,0,2001,,30,"Animation,Comedy",7.7,1046
tt0096697,The Simpsons,tt0701206,She of Little Faith,13,6,0,2001,,30,"Animation,Comedy",7,1042
tt0096697,The Simpsons,tt0701074,Brawl in the Family,13,7,0,2002,,30,"Animation,Comedy",6.9,936
tt0096697,The Simpsons,tt0701221,Sweets and Sour Marge,13,8,0,2002,,30,"Animation,Comedy",7.1,948
tt0096697,The Simpsons,tt0701141,Jaws Wired Shut,13,9,0,2002,,30,"Animation,Comedy",7.3,964
